Latitude,Longitude,Stop Name,Stop Status
40.687938,-73.935621,GATES AV/LEWIS AV,at stop
40.687347,-73.977013,FULTON ST/LAFAYETTE AV,approaching
40.686213,-73.950606,GATES AV/NOSTRAND AV,approaching
40.692409,-73.99008,JORALEMON ST/COURT ST,approaching
40.686234,-73.950424,GATES AV/NOSTRAND AV,approaching
40.68574,-73.954726,GATES AV/BEDFORD AV,approaching
40.69319,-73.989113,ADAMS ST/BKLYN SUPREME CRT,approaching
40.687802,-73.936808,GATES AV/LEWIS AV,approaching
40.696187,-73.990982,Tillary St (not used),approaching
40.689037,-73.92605,GATES AV/RALPH AV,< 1 stop away
40.697981,-73.91373,PALMETTO ST/IRVING AV,< 1 stop away
40.686744,-73.956793,GATES AV/FRANKLIN AV,< 1 stop away
40.690408,-73.921162,GATES AV/BROADWAY,< 1 stop away
